"gemeente"	"Amsterdamse code"	"begindatum"	"einddatum"	"CBS code"	"CBS code 1966"	"Wageningse code"	"Provincie"	"EGG"	"Corop"	"EUCLIDMIDX"	"EUCLIDMIDY"	"Wagextra"
"Gasselte"	11099.00	1/1/1812 0:00:00	1/1/1998 0:00:00	115.00	115.00	3025.00	3.00	16.00	7.00	25142.00	55593.00	
"Gastel [bij Budel]"	11448.00	1/1/1812 0:00:00	1/1/1821 0:00:00				10.00					
"Geertruidenberg"	10101.00	1/1/1812 0:00:00	1/1/2009 0:00:00	779.00	779.00	10102.00	10.00	104.00	33.00	11757.00	41248.00	
"Geervliet"	10842.00	1/1/1812 0:00:00	1/1/1980 0:00:00	509.00	509.00	8154.00	8.00	91.00		7820.00	43049.00	
"Geesteren"	10756.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Geffen"	10370.00	1/1/1812 0:00:00	1/1/1993 0:00:00	780.00	780.00	10130.00	10.00	111.00		16077.00	41634.00	
"Geldermalsen"	10881.00	1/1/1812 0:00:00	1/1/2009 0:00:00	236.00	236.00	5041.00	5.00	38.00	16.00	14835.00	43156.00	
"Geldrop"	10529.00	1/1/1812 0:00:00	1/1/2004 0:00:00	781.00	781.00	10066.00	10.00	114.00	36.00	16818.00	38158.00	
"Geldrop-Mierlo"	10529.00	1/1/2004 0:00:00	1/1/2009 0:00:00	1771.00			10.00					
"Geleen"	10048.00	1/1/1812 0:00:00	1/1/2001 0:00:00	906.00	906.00	11057.00	11.00	124.00	39.00	18604.00	33132.00	
"Gemert"	10277.00	1/1/1812 0:00:00	1/1/1997 0:00:00	782.00	782.00	10078.00	10.00	118.00	36.00	17862.00	39718.00	
"Gemert-Bakel"	10277.00	1/1/1997 0:00:00	1/1/2009 0:00:00	1652.00			10.00					
"Genderen"	10010.00	8/1/1908 0:00:00	5/1/1923 0:00:00	1060.00		10112.00	10.00	105.00		13402.00	41640.00	
"Gendringen"	10260.00	1/1/1812 0:00:00	1/1/2005 0:00:00	237.00	237.00	5072.00	5.00	29.00	14.00	22387.00	43296.00	
"Gendt"	10440.00	1/1/1812 0:00:00	1/1/2001 0:00:00	238.00	238.00	5060.00	5.00	37.00	15.00	19469.00	43238.00	
"Genemuiden"	10746.00	1/1/1812 0:00:00	1/1/2001 0:00:00	154.00	154.00	4028.00	4.00	20.00	10.00	19777.00	51368.00	
"Gennep"	10542.00	1/1/1812 0:00:00	1/1/2009 0:00:00	907.00	907.00	11086.00	11.00	120.00	37.00	19554.00	41289.00	
"Gerverskop"	11336.00	1/1/1818 0:00:00	9/8/1857 0:00:00	1318.00		6087.00	6.00	49.00		12544.00	45888.00	
"Gestel en Blaarthem"	11269.00	1/1/1812 0:00:00	1/1/1920 0:00:00	1061.00		10165.00	10.00	113.00		15915.00	38182.00	
"Geulle"	10530.00	1/1/1812 0:00:00	1/1/1982 0:00:00	908.00	908.00	11051.00	11.00	124.00	39.00	18077.00	32659.00	
"Giessen"	10193.00	1/1/1812 0:00:00	1/1/1973 0:00:00	783.00	783.00	10002.00	10.00	105.00	34.00	13012.00	42114.00	
"Giessenburg"	10255.00	1/1/1957 0:00:00	1/1/1986 0:00:00	510.00	510.00	8121.00	8.00	77.00	30.00	12050.00	42926.00	
"Giessendam"	10606.00	1/1/1812 0:00:00	1/1/1957 0:00:00	1063.00		8123.00	8.00	76.00		11727.00	42938.00	
"Giessenlanden"	10255.00	1/1/1986 0:00:00	1/1/2009 0:00:00	689.00	689.00	8109.00	8.00	77.00	30.00	12426.00	43485.00	
"Giessen-Nieuwkerk"	10255.00	1/1/1812 0:00:00	1/1/1957 0:00:00	1062.00		8121.00	8.00	76.00		12050.00	42926.00	
"Gieten"	10506.00	1/1/1812 0:00:00	1/1/1998 0:00:00	116.00	116.00	3026.00	3.00	16.00	7.00	25001.00	55871.00	
"Giethoorn"	10708.00	1/1/1812 0:00:00	1/1/1973 0:00:00	155.00	155.00	4013.00	4.00	19.00	10.00	19951.00	52796.00	
"Gilze en Rijen"	11375.00	1/1/1812 0:00:00	1/1/2009 0:00:00	784.00	784.00	10041.00	10.00	108.00	34.00	12148.00	39750.00	
"Ginneken en Bavel"	10406.00	1/1/1812 0:00:00	1/1/1942 0:00:00	1064.00		10037.00	10.00	104.00		11469.00	39487.00	
"Goedereede"	10981.00	1/1/1812 0:00:00	1/1/2009 0:00:00	511.00	511.00	8168.00	8.00	92.00	29.00	5785.00	42672.00	
"Goes"	10674.00	1/1/1812 0:00:00	1/1/2009 0:00:00	664.00	664.00	9061.00	9.00	97.00	32.00	4980.00	39141.00	
"Goidschalxoord"	10123.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1319.00		8226.00	8.00	90.00		9039.00	42663.00	
"Goirle"	10971.00	1/1/1812 0:00:00	1/1/2009 0:00:00	785.00	785.00	10043.00	10.00	108.00	34.00	13132.00	39087.00	
"Goor"	10076.00	1/1/1812 0:00:00	1/1/2001 0:00:00	156.00	156.00	4002.00	4.00	24.00	12.00	23650.00	47239.00	
"Gorinchem"	10942.00	1/1/1812 0:00:00	1/1/2009 0:00:00	512.00	512.00	8120.00	8.00	76.00	30.00	12524.00	42848.00	
"Gorredijk"	10861.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Gorssel"	10085.00	1/1/1812 0:00:00	1/1/2005 0:00:00	239.00	239.00	5090.00	5.00	28.00	14.00	21369.00	46716.00	
"Gouda"	10302.00	1/1/1812 0:00:00	1/1/2009 0:00:00	513.00	513.00	8063.00	8.00	74.00	28.00	10849.00	44694.00	
"Gouderak"	11258.00	1/1/1812 0:00:00	1/1/1985 0:00:00	514.00	514.00	8067.00	8.00	75.00	28.00	10714.00	44368.00	
"Goudriaan"	10450.00	1/1/1812 0:00:00	1/1/1986 0:00:00	515.00	515.00	8110.00	8.00	77.00	30.00	12156.00	43520.00	
"Goudswaard"	10914.00	4/1/1817 0:00:00	1/1/1984 0:00:00	516.00	516.00	8152.00	8.00	90.00	29.00	7825.00	42081.00	
"Graafstroom"	10451.00	1/1/1986 0:00:00	1/1/2009 0:00:00	693.00	693.00	8125.00	8.00	77.00	30.00	11150.00	43132.00	
"Graauw en Langendam"	10312.00	1/1/1812 0:00:00	4/1/1970 0:00:00	665.00	665.00	9105.00	9.00	100.00	31.00	6597.00	37188.00	
"Grafhorst"	10224.00	1/1/1812 0:00:00	1/1/1937 0:00:00	1065.00		4056.00	4.00	20.00		19272.00	51053.00	
"Graft"	10484.00	1/1/1812 0:00:00	8/1/1970 0:00:00	389.00	389.00	7061.00	7.00	56.00	23.00	11641.00	50766.00	
"Graft-De Rijp"	11417.00	8/1/1970 0:00:00	1/1/2009 0:00:00	365.00	365.00	7061.00	7.00	56.00		11641.00	50766.00	
"Gramsbergen"	11339.00	1/1/1812 0:00:00	1/1/2001 0:00:00	157.00	157.00	4021.00	4.00	21.00	10.00	24192.00	51534.00	
"Grathem"	11008.00	1/1/1812 0:00:00	1/1/1991 0:00:00	909.00	909.00	11101.00	11.00	123.00	38.00	18625.00	35828.00	
"Grave"	10165.00	1/1/1812 0:00:00	1/1/2009 0:00:00	786.00	786.00	10009.00	10.00	119.00		17777.00	41921.00	
"Grevenbicht"	10624.00	1/1/1812 0:00:00	1/1/1982 0:00:00	910.00	910.00	11005.00	11.00	124.00	39.00	18240.00	33980.00	
"Grijpskerk"	10244.00	1/1/1812 0:00:00	1/1/1990 0:00:00	16.00	16.00	1038.00	1.00	1.00	3.00	21523.00	58751.00	
"Grijpskerke"	10801.00	1/1/1816 0:00:00	7/1/1966 0:00:00	1067.00	668.00	9051.00	9.00	96.00	32.00	2865.00	39468.00	
"Grijpskerke en Poppendamme"	10801.00	1/1/1812 0:00:00	1/1/1816 0:00:00				9.00					
"Groede"	11312.00	1/1/1812 0:00:00	4/1/1970 0:00:00	667.00	667.00	9080.00	9.00	98.00	31.00	2507.00	37767.00	
"Groeneveld"	10764.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1322.00		8196.00	8.00	81.00		7854.00	44549.00	
"Groenlo"	11094.00	1/1/1812 0:00:00	5/20/2006 0:00:00	240.00	240.00	5085.00	5.00	30.00	14.00	23938.00	45111.00	
"Groesbeek"	10616.00	1/1/1812 0:00:00	1/1/2009 0:00:00	241.00	241.00	5030.00	5.00	40.00	15.00	19239.00	42222.00	
"Groet"	10200.00	5/1/1817 0:00:00	1/1/1834 0:00:00	1323.00		7147.00	7.00	55.00		10736.00	52715.00	
"Groningen"	10426.00	1/1/1812 0:00:00	1/1/2009 0:00:00	14.00	14.00	1056.00	1.00	7.00	3.00	23350.00	58054.00	
"Gronsveld"	10323.00	1/1/1812 0:00:00	1/1/1982 0:00:00	911.00	911.00	11027.00	11.00	127.00	39.00	18062.00	31425.00	
"Groot-Ammers"	11205.00	4/1/1817 0:00:00	1/1/1986 0:00:00	520.00	520.00	8096.00	8.00	77.00	30.00	11785.00	43676.00	
"Groote Lindt"	11042.00	4/1/1817 0:00:00	9/6/1881 0:00:00	1066.00		8219.00	8.00	87.00		10099.00	42515.00	
"Grootebroek"	11337.00	1/1/1812 0:00:00	1/1/1979 0:00:00	391.00	391.00	7034.00	7.00	54.00	18.00	14283.00	52425.00	
"Grootegast"	11080.00	1/1/1812 0:00:00	1/1/2009 0:00:00	15.00	15.00	1039.00	1.00	5.00	3.00	21247.00	57896.00	
"Grosthuizen"	11271.00	5/1/1817 0:00:00	5/31/1854 0:00:00	1324.00		7135.00	7.00	56.00		12723.00	51483.00	
"Grouw"	11409.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Grubbenvorst"	10176.00	1/1/1812 0:00:00	1/1/2001 0:00:00	912.00	912.00	11114.00	11.00	120.00	37.00	20636.00	38284.00	
"Gulpen"	11032.00	1/1/1812 0:00:00	1/1/1999 0:00:00	913.00	913.00	11039.00	11.00	127.00	39.00	18897.00	31308.00	
"Gulpen-Wittem"	11032.00	1/1/1999 0:00:00	1/1/2009 0:00:00	1729.00			11.00					
"Haaften"	10125.00	1/1/1818 0:00:00	1/1/1978 0:00:00	242.00	242.00	5035.00	5.00	38.00	16.00	14212.00	42706.00	
"Haage"	10762.00	1/1/1812 0:00:00	5/8/1819 0:00:00				10.00					
"Haaksbergen"	11435.00	1/1/1812 0:00:00	1/1/2009 0:00:00	158.00	158.00	4052.00	4.00	24.00	12.00	24868.00	46435.00	
"Haamstede"	10701.00	1/1/1812 0:00:00	1/1/1961 0:00:00	1068.00		9054.00	9.00	93.00	32.00	4112.00	41385.00	
"Haaren"	11155.00	1/1/1812 0:00:00	1/1/2009 0:00:00	788.00	788.00	10117.00	10.00	110.00	34.00	14395.00	40026.00	
"Haarlem"	10357.00	1/1/1812 0:00:00	1/1/2009 0:00:00	392.00	392.00	7111.00	7.00	60.00	21.00	10391.00	48844.00	
"Haarlemmerliede"	10041.00	5/1/1817 0:00:00	9/8/1857 0:00:00	1325.00		7112.00	7.00	62.00	21.00	10546.00	48874.00	
"Haarlemmerliede en Spaarnwoude"	10508.00	9/8/1857 0:00:00	1/1/2009 0:00:00	393.00	393.00	7112.00	7.00	62.00	21.00	10546.00	48874.00	
"Haarlemmermeer"	11387.00	11/16/1855 0:00:00	1/1/2009 0:00:00	394.00	394.00	7113.00	7.00	62.00				
"Haarzuilens"	10737.00	1/1/1818 0:00:00	1/1/1954 0:00:00	1069.00		6054.00	6.00	49.00		12875.00	45962.00	
"Haastrecht"	11049.00	1/1/1812 0:00:00	1/1/1985 0:00:00	521.00	521.00	8064.00	8.00	75.00	28.00	11367.00	44580.00	
"Haelen"	10321.00	1/1/1812 0:00:00	1/1/2009 0:00:00	914.00	914.00	11103.00	11.00	123.00	38.00	19296.00	36036.00	
"Hagestein"	10297.00	1/1/1818 0:00:00	1/1/1986 0:00:00	522.00	522.00	8101.00	8.00	78.00	30.00	13655.00	44374.00	
"Halderberge"	10397.00	1/1/1997 0:00:00	1/1/2009 0:00:00	1655.00			10.00					
"Hallum"	11284.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Halsteren"	10387.00	1/1/1812 0:00:00	1/1/1997 0:00:00	789.00	789.00	10012.00	10.00	102.00	33.00	7741.00	39408.00	
"Haps"	11283.00	1/1/1812 0:00:00	1/1/1994 0:00:00	790.00	790.00	10086.00	10.00	119.00		18788.00	41167.00	
"Hardegarijp"	11403.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Hardenberg [1]"	10174.00	1/1/1812 0:00:00	7/1/1818 0:00:00				4.00					
"Hardenberg [2]"	10174.00	5/1/1941 0:00:00	1/1/2009 0:00:00	160.00	160.00	4006.00	4.00	21.00	10.00	24207.00	50866.00	
"Harderwijk"	10786.00	1/1/1812 0:00:00	1/1/2009 0:00:00	243.00	243.00	5107.00	5.00	32.00	13.00	17265.00	48330.00	
"Hardinxveld"	10167.00	1/1/1812 0:00:00	1/1/1957 0:00:00	1070.00		8122.00	8.00	76.00	30.00	11884.00	42735.00	
"Hardinxveld-Giessendam"	10167.00	1/1/1957 0:00:00	1/1/2009 0:00:00	523.00	523.00	8122.00	8.00	76.00	30.00	11884.00	42735.00	
"Haren"	11058.00	1/1/1812 0:00:00	1/1/2009 0:00:00	17.00	17.00	1057.00	1.00	8.00	3.00	23744.00	57417.00	
"Haren en Macharen"	10044.00	1/1/1812 0:00:00	2/2/1821 0:00:00				10.00					
"Harenkarspel"	10963.00	1/1/1812 0:00:00	1/1/2009 0:00:00	395.00	395.00	7059.00	7.00	53.00	18.00	11499.00	52792.00	
"Harkstede"	10249.00	1/1/1812 0:00:00	8/1/1821 0:00:00				1.00					
"Harlingen"	10909.00	1/1/1812 0:00:00	1/1/2009 0:00:00	72.00	72.00	2003.00	2.00	12.00	4.00	15742.00	57575.00	
"Harmelen"	10183.00	1/1/1812 0:00:00	1/1/2001 0:00:00	318.00	318.00	6052.00	6.00	49.00	17.00	12581.00	45633.00	
"Haske"	10687.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Haskerland"	10022.00	10/1/1816 0:00:00	1/1/1984 0:00:00	73.00	73.00	2023.00	2.00	10.00	6.00	18673.00	54860.00	
"Hasselt"	10115.00	1/1/1812 0:00:00	1/1/2001 0:00:00	161.00	161.00	4009.00	4.00	20.00	10.00	20274.00	51158.00	
"Hattem"	10673.00	1/1/1812 0:00:00	1/1/2009 0:00:00	244.00	244.00	5103.00	5.00	34.00	13.00	20072.00	49732.00	
"Havelte"	10186.00	1/1/1812 0:00:00	1/1/1998 0:00:00	117.00	117.00	3019.00	3.00	17.00	9.00	21261.00	53140.00	
"Hazerswoude"	11257.00	1/1/1812 0:00:00	1/1/1991 0:00:00	524.00	524.00	8037.00	8.00	73.00	28.00	10042.00	45790.00	
"Hedel"	10982.00	1/1/1812 0:00:00	1/1/1999 0:00:00	245.00	245.00	5006.00	5.00	42.00	16.00	14631.00	41848.00	
"Hedikhuizen"	11130.00	1/1/1812 0:00:00	5/1/1935 0:00:00	1071.00		10166.00	10.00	110.00		14174.00	41511.00	
"Heeg"	10975.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Heel [1]"	11208.00	1/1/1812 0:00:00	1/1/1821 0:00:00				11.00					
"Heel [2]"	11208.00	1/1/1991 0:00:00	1/1/2009 0:00:00	1937.00			11.00					
"Heel en Panheel"	11208.00	1/1/1821 0:00:00	1/1/1991 0:00:00	915.00	915.00	11093.00	11.00	123.00	38.00	18964.00	35624.00	
"Heemskerk"	10679.00	1/1/1812 0:00:00	1/1/2009 0:00:00	396.00	396.00	7080.00	7.00	59.00	20.00	10482.00	50244.00	
"Heemstede"	11288.00	1/1/1812 0:00:00	1/1/2009 0:00:00	397.00	397.00	7019.00	7.00	61.00	21.00	10233.00	48470.00	
"Heenvliet"	10823.00	1/1/1812 0:00:00	1/1/1980 0:00:00	525.00	525.00	8156.00	8.00	91.00		7395.00	43143.00	
"Heer"	11407.00	8/5/1828 0:00:00	7/1/1970 0:00:00	916.00	916.00	11030.00	11.00	126.00	39.00	17908.00	31666.00	
"Heer en Keer"	11407.00	1/1/1812 0:00:00	8/5/1828 0:00:00				11.00					
"Heer Oudelands Ambacht"	11207.00	4/1/1817 0:00:00	8/19/1857 0:00:00	1327.00		8220.00	8.00	87.00		10212.00	42639.00	
"Heerde"	10291.00	1/1/1812 0:00:00	1/1/2009 0:00:00	246.00	246.00	5102.00	5.00	34.00	13.00	19930.00	49092.00	
"Heerenveen [1]"	10680.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Heerenveen [2]"	10680.00	7/1/1934 0:00:00	1/1/2009 0:00:00	74.00	74.00	2022.00	2.00	9.00	6.00	19980.00	55388.00	
"Heerewaarden [1]"	10067.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Heerewaarden [2]"	10067.00	1/1/1821 0:00:00	1/1/1999 0:00:00	247.00	247.00	5016.00	5.00	42.00	16.00	15474.00	42491.00	
"Heerhugowaard"	10752.00	1/1/1812 0:00:00	1/1/2009 0:00:00	398.00	398.00	7058.00	7.00	53.00	19.00	11729.00	52105.00	
"Heerjansdam"	10540.00	1/1/1812 0:00:00	1/1/2003 0:00:00	526.00	526.00	8144.00	8.00	86.00		9872.00	42785.00	
"Heerlen"	10902.00	1/1/1812 0:00:00	1/1/2009 0:00:00	917.00	917.00	11041.00	11.00	125.00	39.00	19644.00	32256.00	
"Heesbeen, Eethen en Genderen"	10010.00	5/8/1819 0:00:00	8/1/1908 0:00:00	1255.00		10112.00	10.00	105.00		13402.00	41640.00	
"Heesch"	10149.00	1/1/1812 0:00:00	1/28/1995 0:00:00	791.00	791.00	10137.00	10.00	111.00		16371.00	41392.00	
"Heeswijk"	11229.00	1/1/1812 0:00:00	1/1/1969 0:00:00	1072.00	792.00	10139.00	10.00	112.00		16028.00	40956.00	
"Heeswijk-Dinther"	10690.00	1/1/1969 0:00:00	1/1/1994 0:00:00	792.00	792.00	10139.00	10.00	112.00		16028.00	40956.00	
"Heeze"	10462.00	1/1/1812 0:00:00	1/1/1997 0:00:00	793.00	793.00	10151.00	10.00	117.00	36.00	16717.00	37705.00	
"Heeze-Leende"	10462.00	1/1/1997 0:00:00	1/1/2009 0:00:00	1658.00			10.00					
"Hefshuizen"	10246.00	1/1/1979 0:00:00	1/1/1992 0:00:00	19.00	19.00	1030.00	1.00	1.00	3.00	24112.00	60497.00	
"Hei- en Boeicop"	11024.00	4/1/1817 0:00:00	1/1/1986 0:00:00	527.00	527.00	8104.00	8.00	78.00	30.00	13341.00	43948.00	
"Heille"	11309.00	1/1/1812 0:00:00	7/31/1880 0:00:00	1073.00		9117.00	9.00	98.00		1623.00	36809.00	
"Heiloo"	10793.00	1/1/1812 0:00:00	1/1/2009 0:00:00	399.00	399.00	7083.00	7.00	55.00	19.00	10975.00	51295.00	
"Heinenoord"	10821.00	1/1/1812 0:00:00	1/1/1984 0:00:00	528.00	528.00	8142.00	8.00	90.00	29.00	9472.00	42623.00	
"Heinkenszand"	10413.00	1/1/1812 0:00:00	1/1/1970 0:00:00	672.00	672.00	9024.00	9.00	97.00	32.00	4431.00	38821.00	
"Heino"	10854.00	1/1/1812 0:00:00	1/1/2001 0:00:00	162.00	162.00	4030.00	4.00	20.00	10.00	21342.00	49575.00	
"Hekelingen"	10873.00	4/1/1817 0:00:00	5/1/1966 0:00:00	1074.00	529.00	8181.00	8.00	91.00		8360.00	42758.00	
"Hekendorp"	10217.00	4/1/1817 0:00:00	2/1/1964 0:00:00	1075.00		8053.00	8.00	74.00	28.00	11632.00	44838.00	
"Helden"	10205.00	1/1/1812 0:00:00	1/1/2009 0:00:00	918.00	918.00	11111.00	11.00	123.00	37.00	19568.00	37204.00	
"Hellendoorn"	10806.00	1/1/1812 0:00:00	1/1/2009 0:00:00	163.00	163.00	4041.00	4.00	24.00	12.00	22857.00	48945.00	
"Hellevoetsluis"	11078.00	1/1/1812 0:00:00	1/1/2009 0:00:00	530.00	530.00	8159.00	8.00	91.00		6656.00	42728.00	
"Helmond"	10932.00	1/1/1812 0:00:00	1/1/2009 0:00:00	794.00	794.00	10064.00	10.00	115.00	36.00	17423.00	38840.00	
"Helvoirt"	10389.00	1/1/1812 0:00:00	1/1/1996 0:00:00	795.00	795.00	10116.00	10.00	110.00		14215.00	40665.00	
"Hemelumer Oldeferd"	10334.00	1/1/1956 0:00:00	1/1/1984 0:00:00	75.00	75.00	2016.00	2.00	10.00	5.00	16082.00	54589.00	
"Hemelumer Oldephaert en Noordwolde"	10334.00	10/1/1816 0:00:00	1/1/1956 0:00:00	1260.00		2016.00	2.00	10.00	5.00	16082.00	54589.00	
"Hemmen"	11162.00	1/1/1812 0:00:00	7/1/1955 0:00:00	1076.00		5002.00	5.00	37.00		17609.00	43769.00	
"Hendrik-Ido-Ambacht"	10416.00	1/1/1812 0:00:00	1/1/2009 0:00:00	531.00	531.00	8130.00	8.00	87.00	30.00	10354.00	42865.00	
"Hengelo [Ge]"	10359.00	1/1/1812 0:00:00	1/1/2005 0:00:00	248.00	248.00	5079.00	5.00	28.00	14.00	22048.00	45167.00	
"Hengelo [Ov]"	10907.00	1/1/1812 0:00:00	1/1/2009 0:00:00	164.00	164.00	4053.00	4.00	24.00	12.00	24975.00	47314.00	
"Hengstdijk"	10636.00	1/1/1812 0:00:00	7/1/1936 0:00:00	1077.00		9108.00	9.00	100.00		5812.00	37460.00	
"Hennaarderadeel"	10877.00	10/1/1816 0:00:00	1/1/1984 0:00:00	76.00	76.00	2026.00	2.00	10.00	5.00	16954.00	57054.00	
"Hensbroek"	10181.00	5/1/1817 0:00:00	1/1/1979 0:00:00	401.00	401.00	7054.00	7.00	54.00	18.00	12152.00	51896.00	
"Herkingen"	10267.00	4/1/1817 0:00:00	1/1/1966 0:00:00	1078.00	532.00	8172.00	8.00	92.00		6486.00	41506.00	
"Hernen"	10528.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Herpen"	11262.00	1/1/1812 0:00:00	4/1/1941 0:00:00	1079.00		10134.00	10.00	111.00		17151.00	41999.00	
"Herpt"	10845.00	1/1/1812 0:00:00	5/1/1935 0:00:00	1080.00		10167.00	10.00	110.00		13961.00	41585.00	
"Herten"	10138.00	1/1/1812 0:00:00	1/1/1991 0:00:00	919.00	919.00	11076.00	11.00	122.00	38.00	19464.00	35433.00	
"Herveld"	10444.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Herwen"	10819.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Herwen en Aerdt"	10819.00	1/1/1818 0:00:00	1/1/1985 0:00:00	249.00	249.00	5065.00	5.00	26.00	15.00	20421.00	43218.00	
"Herwijnen"	11266.00	1/1/1812 0:00:00	1/1/1986 0:00:00	250.00	250.00	5034.00	5.00	38.00	16.00	13685.00	42876.00	
"Het Bildt"	10128.00	10/1/1816 0:00:00	1/1/2009 0:00:00	63.00	63.00	2029.00	2.00	12.00	4.00	17162.00	58831.00	
"Heteren"	10290.00	1/1/1812 0:00:00	1/1/2001 0:00:00	251.00	251.00	5055.00	5.00	37.00	15.00	17989.00	44034.00	
"Heukelum"	11308.00	1/1/1812 0:00:00	1/1/1986 0:00:00	533.00	533.00	8118.00	8.00	78.00	30.00	13240.00	43100.00	
"Heumen"	10600.00	1/1/1812 0:00:00	1/1/2009 0:00:00	252.00	252.00	5029.00	5.00	40.00	15.00	18697.00	42184.00	
"Heusden"	10307.00	1/1/1812 0:00:00	1/1/2009 0:00:00	797.00	797.00	10114.00	10.00	110.00	34.00	13838.00	41615.00	
"Heusden [Ge]"	10916.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Heythuysen"	10840.00	1/1/1812 0:00:00	1/1/2009 0:00:00	920.00	920.00	11108.00	11.00	123.00	38.00	18953.00	36572.00	
"Hien en Dodewaard"	10647.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Hillegersberg"	10227.00	1/1/1812 0:00:00	8/1/1941 0:00:00	1081.00		8080.00	8.00	84.00		9486.00	44057.00	
"Hillegom"	11236.00	1/1/1812 0:00:00	1/1/2009 0:00:00	534.00	534.00	8012.00	8.00	68.00	25.00	9970.00	47877.00	
"Hilvarenbeek"	11297.00	1/1/1812 0:00:00	1/1/2009 0:00:00	798.00	798.00	10044.00	10.00	108.00	34.00	13665.00	38910.00	
"Hilversum"	11285.00	1/1/1812 0:00:00	1/1/2009 0:00:00	402.00	402.00	7120.00	7.00	66.00	24.00	13932.00	47139.00	
"Hindeloopen"	10672.00	1/1/1812 0:00:00	1/1/1984 0:00:00	77.00	77.00	2002.00	2.00	10.00	5.00	15668.00	54952.00	
"Hodenpijl"	10876.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1328.00		8197.00	8.00	81.00		8100.00	44513.00	
"Hoedekenskerke"	11072.00	1/1/1812 0:00:00	1/1/1970 0:00:00	673.00	673.00	9028.00	9.00	97.00	32.00	5085.00	38386.00	
"Hoek"	10038.00	1/1/1812 0:00:00	4/1/1970 0:00:00	674.00	674.00	9094.00	9.00	99.00	31.00	4329.00	37116.00	
"Hoenkoop"	10611.00	1/1/1818 0:00:00	9/1/1970 0:00:00	319.00	319.00	6046.00	6.00	49.00	17.00	11822.00	44636.00	
"Hoensbroek"	11177.00	1/1/1812 0:00:00	1/1/1982 0:00:00	921.00	921.00	11042.00	11.00	125.00	39.00	19262.00	32548.00	
"Hoevelaken"	11358.00	1/1/1812 0:00:00	1/1/2000 0:00:00	253.00	253.00	5014.00	5.00	31.00	13.00	15994.00	46561.00	
"Hoeven"	10065.00	1/1/1812 0:00:00	1/1/1997 0:00:00	799.00	799.00	10031.00	10.00	102.00	33.00	9817.00	40001.00	
"Hof van Delft"	10089.00	4/1/1817 0:00:00	1/1/1921 0:00:00	1082.00		8182.00	8.00	82.00		8353.00	44522.00	
"Hof van Twente"	10076.00	1/1/2001 0:00:00	1/1/2009 0:00:00	1735.00			4.00					
"Hofwegen"	10325.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1329.00		8234.00	8.00	77.00		11384.00	43144.00	
"Holten"	11246.00	1/1/1812 0:00:00	1/1/2001 0:00:00	165.00	165.00	4037.00	4.00	22.00	11.00	22403.00	47765.00	
"Holwerd"	11172.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Holysloot"	11234.00	5/1/1817 0:00:00	1/1/1818 0:00:00				7.00					
"Hontenisse"	11123.00	1/1/1812 0:00:00	1/1/2003 0:00:00	675.00	675.00	9106.00	9.00	100.00	31.00	6111.00	37421.00	
"Hoofdplaat"	10147.00	1/1/1812 0:00:00	4/1/1970 0:00:00	676.00	676.00	9091.00	9.00	98.00	31.00	3331.00	37696.00	
"Hoog en Woud Harnasch"	10163.00	4/1/1817 0:00:00	1/1/1833 0:00:00	1330.00		8282.00	8.00		82.00	8005.00	44660.00	
"Hoogblokland"	11040.00	1/1/1812 0:00:00	1/1/1986 0:00:00	535.00	535.00	8115.00	8.00	77.00	30.00	12615.00	43249.00	
"Hooge en Lage Mierde"	10476.00	1/1/1812 0:00:00	1/1/1997 0:00:00	801.00	801.00	10046.00	10.00	108.00	34.00	13737.00	37864.00	
"Hooge en Lage Zwaluwe"	11318.00	1/1/1812 0:00:00	1/1/1997 0:00:00	802.00	802.00	10033.00	10.00	101.00	33.00	10708.00	41322.00	
"Hoogelande"	11194.00	1/1/1812 0:00:00	1/1/1816 0:00:00				9.00					
"Hoogeloon, Hapert en Casteren"	10657.00	1/1/1812 0:00:00	1/1/1997 0:00:00	800.00	800.00	10048.00	10.00	116.00	36.00	14649.00	37585.00	
"Hoogeveen"	10839.00	1/1/1812 0:00:00	1/1/2009 0:00:00	118.00	118.00	3006.00	3.00	18.00	9.00	23221.00	52377.00	
