"gemeente"	"Amsterdamse code"	"begindatum"	"einddatum"	"CBS code"	"CBS code 1966"	"Wageningse code"	"Provincie"	"EGG"	"Corop"	"EUCLIDMIDX"	"EUCLIDMIDY"	"Wagextra"
"Zeevang"	11121.00	8/1/1970 0:00:00	1/1/2009 0:00:00	478.00	478.00	7026.00	7.00	56.00	23.00	12763.00	50782.00	
"Zeewolde"	10012.00	1/1/1984 0:00:00	1/1/2009 0:00:00	50.00	50.00	12006.00	12.00	129.00	40.00			
"Zegveld"	10949.00	1/1/1812 0:00:00	1/1/1989 0:00:00	354.00	354.00	6071.00	6.00	49.00	17.00	11677.00	45898.00	
"Zegwaart"	10185.00	1/1/1812 0:00:00	5/1/1935 0:00:00	1234.00		8190.00	8.00	83.00		9501.00	45280.00	
"Zeist"	10324.00	1/1/1812 0:00:00	1/1/2009 0:00:00	355.00	355.00	6039.00	6.00	44.00	17.00	14540.00	45808.00	
"Zelhem"	11159.00	1/1/1812 0:00:00	1/1/2005 0:00:00	298.00	298.00	5078.00	5.00	28.00	14.00	22255.00	44666.00	
"Zesgehuchten"	10329.00	1/1/1812 0:00:00	5/1/1921 0:00:00	1235.00		10184.00	10.00	114.00		16521.00	38030.00	
"Zevenaar"	10938.00	1/1/1812 0:00:00	1/1/2009 0:00:00	299.00	299.00	5063.00	5.00	26.00	15.00	20323.00	43850.00	
"Zevenbergen"	10046.00	1/1/1812 0:00:00	4/1/1998 0:00:00	878.00	878.00	10032.00	10.00	101.00	33.00	10322.00	40867.00	
"Zevender"	11151.00	4/1/1817 0:00:00	9/8/1857 0:00:00	1399.00		6082.00	6.00	49.00		11956.00	44136.00	
"Zevenhoven"	11317.00	1/1/1812 0:00:00	1/1/1991 0:00:00	635.00	635.00	8028.00	8.00	72.00	28.00	11564.00	46617.00	
"Zevenhuizen"	11377.00	1/1/1812 0:00:00	1/1/1991 0:00:00	636.00	636.00	8070.00	8.00	83.00	29.00	10001.00	44614.00	
"Zevenhuizen-Moerkapelle"	11377.00	2/1/1992 0:00:00	1/1/2009 0:00:00	1666.00			8.00					
"Zierikzee"	10843.00	1/1/1812 0:00:00	1/1/1997 0:00:00	732.00	732.00	9066.00	9.00	93.00	32.00	5270.00	40826.00	
"Zijpe"	10004.00	1/1/1812 0:00:00	1/1/2009 0:00:00	476.00	476.00	7089.00	7.00	52.00	18.00	11171.00	53395.00	
"Zoelen"	10897.00	1/1/1812 0:00:00	1/1/1978 0:00:00	300.00	300.00	5047.00	5.00	38.00	16.00	15441.00	43553.00	
"Zoetermeer"	10766.00	1/1/1812 0:00:00	1/1/2009 0:00:00	637.00	637.00	8045.00	8.00	83.00	26.00	9147.00	45373.00	
"Zoeterwoude"	11074.00	1/1/1812 0:00:00	1/1/2009 0:00:00	638.00	638.00	8032.00	8.00	71.00	25.00	9445.00	45886.00	
"Zonnemaire"	10040.00	1/1/1812 0:00:00	1/1/1961 0:00:00	1236.00		9062.00	9.00	93.00	32.00	5520.00	41447.00	
"Zoutelande"	10779.00	1/1/1812 0:00:00	7/1/1966 0:00:00	1237.00	733.00	9044.00	9.00	96.00	32.00	2266.00	39292.00	
"Zouteveen"	11231.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1400.00		8199.00	8.00	81.00		8287.00	44110.00	
"Zuid- en Noord-Schermer"	11311.00	1/1/1812 0:00:00	8/1/1970 0:00:00	474.00	474.00	7060.00	7.00	56.00	19.00	11711.00	51136.00	
